0.00,0.000,0.000,0.000
0.01,0.002,0.000,0.002
0.02,0.003,0.000,0.003
0.03,0.006,0.001,0.006
0.04,0.013,0.001,0.013
0.05,0.026,0.003,0.026
0.06,0.047,0.005,0.047
0.07,0.077,0.009,0.077
0.08,0.116,0.015,0.116
0.09,0.160,0.023,0.160
0.10,0.209,0.034,0.209
0.11,0.258,0.047,0.258
0.12,0.306,0.064,0.306
0.13,0.350,0.083,0.350
0.14,0.391,0.106,0.391
0.15,0.428,0.131,0.428
0.16,0.461,0.159,0.461
0.17,0.491,0.188,0.491
0.18,0.518,0.219,0.517
0.19,0.541,0.251,0.541
0.20,0.563,0.283,0.563
0.21,0.582,0.315,0.582
0.22,0.600,0.347,0.600
0.23,0.616,0.378,0.616
0.24,0.631,0.408,0.631
0.25,0.645,0.438,0.645
0.26,0.659,0.466,0.659
0.27,0.671,0.493,0.671
0.28,0.683,0.519,0.683
0.29,0.694,0.543,0.694
0.30,0.705,0.566,0.705
0.31,0.715,0.588,0.715
0.32,0.725,0.609,0.724
0.33,0.734,0.629,0.734
0.34,0.743,0.648,0.743
0.35,0.752,0.665,0.752
0.36,0.760,0.682,0.760
0.37,0.768,0.699,0.768
0.38,0.776,0.714,0.776
0.39,0.784,0.728,0.784
0.40,0.792,0.742,0.791
0.41,0.799,0.756,0.799
0.42,0.806,0.768,0.806
0.43,0.813,0.780,0.813
0.44,0.820,0.792,0.820
0.45,0.827,0.802,0.827
0.46,0.833,0.813,0.833
0.47,0.840,0.822,0.840
0.48,0.846,0.832,0.846
0.49,0.852,0.841,0.852
0.51,0.858,0.849,0.858
0.52,0.864,0.857,0.864
0.53,0.870,0.865,0.870
0.54,0.876,0.872,0.876
0.55,0.881,0.880,0.881
0.56,0.887,0.886,0.887
0.57,0.892,0.893,0.892
0.58,0.898,0.899,0.898
0.59,0.903,0.906,0.903
0.60,0.908,0.912,0.908
0.61,0.913,0.917,0.913
0.62,0.918,0.923,0.918
0.63,0.924,0.929,0.923
0.64,0.929,0.934,0.928
0.65,0.933,0.939,0.933
0.66,0.938,0.944,0.938
0.67,0.943,0.949,0.943
0.68,0.948,0.954,0.948
0.69,0.953,0.959,0.952
0.70,0.957,0.964,0.957
0.71,0.962,0.969,0.962
0.72,0.966,0.973,0.966
0.73,0.971,0.978,0.971
0.74,0.975,0.982,0.975
0.75,0.980,0.987,0.980
0.76,0.984,0.991,0.984
0.77,0.988,0.995,0.988
0.78,0.993,0.998,0.993
0.79,0.997,1.000,0.997
0.80,1.000,0.998,1.000
0.81,0.980,0.965,0.980
0.82,0.866,0.868,0.866
0.83,0.756,0.761,0.755
0.84,0.653,0.659,0.653
0.85,0.560,0.565,0.560
0.86,0.474,0.479,0.474
0.87,0.397,0.401,0.397
0.88,0.328,0.331,0.328
0.89,0.266,0.269,0.266
0.90,0.212,0.214,0.212
0.91,0.164,0.166,0.164
0.92,0.124,0.125,0.124
0.93,0.090,0.091,0.090
0.94,0.062,0.063,0.062
0.95,0.040,0.041,0.040
0.96,0.024,0.024,0.024
0.97,0.012,0.012,0.012
0.98,0.005,0.005,0.005
0.99,0.001,0.001,0.001
1.00,0.000,0.000,0.000
0.00,0.000,0.000,0.000
0.01,0.002,0.000,0.002
0.02,0.005,0.001,0.005
0.03,0.015,0.002,0.015
0.04,0.034,0.004,0.034
0.05,0.065,0.008,0.065
0.06,0.106,0.014,0.106
0.07,0.155,0.023,0.155
0.08,0.207,0.035,0.207
0.09,0.259,0.050,0.259
0.10,0.308,0.068,0.308
0.11,0.353,0.090,0.353
