s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0.19,0.561,0.389,0.562,0.545,0.321,0.545
0.2,0.58,0.429,0.582,0.563,0.354,0.563
0.21,0.598,0.468,0.599,0.58,0.386,0.58
0.22,0.614,0.507,0.616,0.597,0.418,0.596
0.23,0.63,0.544,0.632,0.612,0.449,0.612
0.24,0.645,0.58,0.647,0.626,0.479,0.626
0.25,0.659,0.615,0.661,0.64,0.508,0.64
0.26,0.673,0.648,0.675,0.653,0.535,0.653
0.27,0.686,0.68,0.688,0.666,0.562,0.666
0.28,0.698,0.71,0.7,0.678,0.587,0.678
0.29,0.71,0.738,0.712,0.69,0.611,0.69
0.3,0.721,0.764,0.723,0.701,0.634,0.701
0.31,0.732,0.788,0.734,0.711,0.655,0.711
0.32,0.743,0.81,0.745,0.722,0.675,0.722
0.33,0.753,0.83,0.755,0.732,0.693,0.732
0.34,0.763,0.849,0.765,0.742,0.711,0.742
0.35,0.772,0.865,0.774,0.751,0.727,0.751
0.36,0.782,0.88,0.783,0.76,0.742,0.76
0.37,0.791,0.894,0.792,0.769,0.756,0.769
0.38,0.799,0.906,0.801,0.778,0.769,0.778
0.39,0.808,0.917,0.81,0.786,0.781,0.786
0.4,0.816,0.927,0.818,0.795,0.793,0.795
0.41,0.825,0.936,0.826,0.803,0.804,0.803
0.42,0.833,0.944,0.834,0.811,0.814,0.811
0.43,0.84,0.951,0.841,0.819,0.824,0.819
0.44,0.848,0.958,0.849,0.826,0.834,0.826
0.45,0.855,0.964,0.856,0.834,0.843,0.834
0.46,0.863,0.97,0.863,0.841,0.851,0.841
0.47,0.87,0.975,0.871,0.849,0.86,0.849
0.48,0.877,0.98,0.878,0.856,0.868,0.856
0.49,0.884,0.984,0.884,0.863,0.876,0.863
0.51,0.891,0.988,0.891,0.87,0.883,0.87
0.52,0.897,0.991,0.898,0.877,0.891,0.877
0.53,0.904,0.994,0.904,0.884,0.898,0.884
0.54,0.91,0.996,0.911,0.891,0.905,0.891
0.55,0.917,0.998,0.917,0.897,0.912,0.897
0.56,0.923,0.999,0.923,0.904,0.919,0.904
0.57,0.929,1,0.929,0.91,0.926,0.91
0.58,0.934,1,0.935,0.917,0.932,0.917
0.59,0.94,0.999,0.94,0.923,0.939,0.923
0.6,0.946,0.998,0.946,0.929,0.945,0.929
0.61,0.951,0.996,0.951,0.936,0.951,0.936
0.62,0.956,0.993,0.956,0.942,0.957,0.942
0.63,0.961,0.989,0.961,0.948,0.963,0.948
0.64,0.966,0.984,0.966,0.954,0.969,0.954
0.65,0.971,0.978,0.971,0.96,0.975,0.96
0.66,0.975,0.971,0.975,0.966,0.98,0.966
0.67,0.979,0.962,0.979,0.971,0.985,0.971
