"rhr(rsat), created by Plot Digitizer, 2.6.8"
"Date: 7/2/18, 3:28:44 PM"


25
rsat,rhr
0.280980,0.485061,
0.297468,0.608060,
0.276272,0.769235,
0.292321,0.772129,
0.303106,0.757721,
0.431498,0.780868,
0.425306,0.940006,
0.421822,0.991379,
0.437007,0.955034,
0.448902,0.933304,
0.561322,0.938854,
0.565438,0.970830,
0.566302,1.01007,
0.577229,0.968704,
0.586970,0.949365,
0.692256,0.886094,
0.694294,0.905757,
0.701635,0.935371,
0.722883,0.967818,
0.725386,0.695837,
0.804806,0.663714,
0.831524,0.674254,
0.817397,0.509655,
0.817487,0.492501,
0.773933,0.425125,
