"rhr(rsat), created by Plot Digitizer, 2.6.8"
"Date: 7/2/18, 3:24:24 PM"


8
rsat,rhr
0.305758,0.137661,
0.579608,0.781935,
0.730705,0.996624,
0.825559,0.883865,
0.823546,1.00757,
0.682163,0.919470,
0.542125,0.795019,
0.414741,0.552139,
